(-0.63, -0.63)
(-0.68, -1.05)
(-0.8, -1.15)
(-0.81, -1.21)
(0.82, 1.22)
(-0.93, 0.22)
(0.29, 1.01)
(-0.57, 0.18)
(0.37, 0.84)
(-0.61, 0.03)
(0.43, 0.89)
(0.66, -0.07)
(0.94, 0.46)
(0.98, 0.17)
(1.04, 0.3)
(1.05, 0.24)
(-1.06, -0.27)
(0.47, 1.13)
(0.72, -0.23)
(1.0, 0.52)
(1.01, 0.14)
(1.05, 0.31)
(-1.05, -0.23)
(-0.46, -1.12)
(-0.87, -1.1)
(-0.78, -1.22)
(0.83, 1.21)
(-0.94, 0.22)
(0.29, 1.01)
(0.57, -0.19)
(0.92, 0.53)
(-0.97, -0.14)
(-0.44, -1.08)
(-0.86, -1.09)
(-0.78, -1.21)
(-0.83, -1.21)
(0.82, 1.23)
(0.93, -0.23)
(1.08, 0.48)
(1.05, 0.15)
(1.07, 0.3)
(1.06, 0.23)
(1.06, 0.27)
(1.06, 0.25)
(1.06, 0.26)
(1.06, 0.26)
(1.06, 0.26)
(-1.06, -0.26)
(-0.47, -1.13)
(-0.87, -1.11)
(-0.78, -1.22)
(-0.83, -1.21)
(-0.82, -1.23)
(-0.83, -1.23)
(0.83, 1.23)
(0.94, -0.23)
(1.08, 0.48)
(1.05, 0.15)
(1.07, 0.3)
(1.06, 0.23)
(1.06, 0.27)
(-1.06, -0.25)
(0.47, 1.13)
(-0.72, 0.23)
(-0.32, -0.9)
(-0.84, -1.01)
(0.76, 1.19)
(0.9, -0.22)
(-1.06, -0.48)
(0.55, 1.17)
(0.78, -0.24)
(1.02, 0.51)
(-1.02, -0.14)
(-0.43, -1.1)
(-0.87, -1.09)
(-0.78, -1.21)
(-0.83, -1.21)
(-0.82, -1.23)
(-0.83, -1.23)
(-0.83, -1.23)
(-0.83, -1.23)
(0.83, 1.23)
(0.94, -0.23)
(1.08, 0.48)
(-1.05, -0.15)
(0.43, 1.11)
(0.69, -0.22)
(0.98, 0.52)
(-1.0, -0.14)
(0.43, 1.09)
(-0.69, 0.21)
(0.33, 0.89)
(0.58, -0.08)
(0.9, 0.49)
(-0.96, -0.16)
(-0.45, -1.08)
(0.86, 1.09)
(0.94, -0.15)
(1.07, 0.45)
(-1.05, -0.17)
(-0.44, -1.11)
(-0.87, -1.09)
(-0.78, -1.22)
(-0.83, -1.21)
(-0.82, -1.23)
(0.83, 1.23)
(-0.94, 0.23)
(0.28, 1.01)
(0.56, -0.19)
(0.92, 0.53)
(-0.97, -0.14)
(-0.44, -1.08)
(0.86, 1.09)
(0.94, -0.15)
(1.07, 0.45)
(-1.05, -0.17)
(0.44, 1.11)
(0.7, -0.22)
(-0.98, -0.52)
(-0.58, -1.15)
(-0.85, -1.14)
(0.8, 1.22)
(0.92, -0.23)
(1.07, 0.48)
(1.05, 0.15)
(1.07, 0.3)
(-1.06, -0.23)
(0.46, 1.13)
(0.72, -0.23)
(0.99, 0.52)
(-1.01, -0.14)
(-0.43, -1.09)
(0.87, 1.09)
(-0.94, 0.15)
(-0.32, -1.02)
(0.88, 1.04)
(-0.94, 0.13)
(0.33, 1.03)
(-0.6, 0.19)
(0.36, 0.85)
(0.6, -0.05)
(0.9, 0.47)
(0.97, 0.17)
(1.03, 0.3)
(1.04, 0.24)
(1.06, 0.27)
(1.06, 0.25)
(-1.06, -0.26)
(-0.47, -1.13)
(-0.87, -1.11)
(0.78, 1.22)
(0.91, -0.23)
(1.07, 0.48)
